date,vendor_id,activity_id,crop_id,crop_name,water_used_l,nutrient_used_ml,energy_used_kwh,temperature_c,humidity_pct,ph,ec_ms_cm,yield_kg,status,location,labor_hours,record_id,farm_name,vendor_name,vendor_category,activity,month,year,month_name,yield_per_100l_water,yield_per_kwh
2026-06-01,V002,AC01,C001,Lettuce,420.0,180.0,12.5,24.2,68.0,6.1,1.2,0.0,Done,Pune,,FA001,Farm A,Aqua Solutions,Irrigation,Irrigation,2026-06,2026,June,0.0,0.0
2026-06-02,V003,AC02,C003,Cucumber,480.0,200.0,13.2,25.0,65.0,6.0,1.5,0.0,Done,Pune,,FA002,Farm A,AgroCare,Pesticide,Fertigation,2026-06,2026,June,0.0,0.0
2026-06-03,V005,AC03,C001,Lettuce,460.0,190.0,12.8,25.3,66.0,6.2,1.4,0.0,Done,Pune,,FA003,Farm A,FreshCrop Agro,Seeds,Cleaning & Sanitization,2026-06,2026,June,0.0,0.0
2026-06-04,V002,AC03,C003,Cucumber,350.0,150.0,10.8,23.8,70.0,6.0,1.3,0.0,Done,Pune,,FA004,Farm A,Aqua Solutions,Irrigation,Cleaning & Sanitization,2026-06,2026,June,0.0,0.0
2026-06-05,V004,AC01,C004,Spinach,310.0,120.0,9.5,24.5,67.0,6.1,1.2,0.0,Done,Pune,,FA005,Farm A,FarmTech Supplies,Equipment,Irrigation,2026-06,2026,June,0.0,0.0
2026-06-06,V005,AC03,C001,Lettuce,440.0,180.0,11.8,24.8,66.0,6.0,1.5,0.0,Done,Pune,,FA006,Farm A,FreshCrop Agro,Seeds,Cleaning & Sanitization,2026-06,2026,June,0.0,0.0
2026-06-07,V005,AC04,C001,Lettuce,470.0,195.0,13.0,25.1,65.0,6.2,1.45,0.0,Pending,Pune,,FA007,Farm A,FreshCrop Agro,Seeds,Climate Monitoring,2026-06,2026,June,0.0,0.0
2026-06-08,V005,AC01,C001,Lettuce,360.0,130.0,10.1,24.1,71.0,6.0,1.3,0.0,Done,Pune,,FA008,Farm A,FreshCrop Agro,Seeds,Irrigation,2026-06,2026,June,0.0,0.0
2026-06-09,V004,AC02,C004,Spinach,410.0,170.0,11.6,24.0,69.0,6.1,1.25,0.0,In Progress,Pune,,FA009,Farm A,FarmTech Supplies,Equipment,Fertigation,2026-06,2026,June,0.0,0.0
2026-06-10,V003,AC05,C004,Spinach,520.0,0.0,14.5,24.3,68.0,6.1,1.5,95.0,Done,Pune,,FA010,Farm A,AgroCare,Pesticide,Plant Health Scouting,2026-06,2026,June,18.269230769230766,6.551724137931035
2026-06-11,V001,AC03,C001,Lettuce,460.0,190.0,12.8,25.3,66.0,6.2,1.45,0.0,Done,Pune,,FA011,Farm A,GreenGrow Agro,Fertilizer,Cleaning & Sanitization,2026-06,2026,June,0.0,0.0
2026-06-12,V005,AC01,C003,Cucumber,370.0,140.0,10.5,23.9,72.0,6.0,1.35,0.0,Pending,Pune,,FA012,Farm A,FreshCrop Agro,Seeds,Irrigation,2026-06,2026,June,0.0,0.0
2026-06-13,V001,AC03,C001,Lettuce,380.0,140.0,10.5,24.6,69.0,6.2,1.25,0.0,Done,Pune,,FA013,Farm A,GreenGrow Agro,Fertilizer,Cleaning & Sanitization,2026-06,2026,June,0.0,0.0
2026-06-14,V003,AC05,C002,Tomato,470.0,210.0,13.0,25.2,65.0,6.1,1.5,0.0,Done,Pune,,FA014,Farm A,AgroCare,Pesticide,Plant Health Scouting,2026-06,2026,June,0.0,0.0
2026-06-15,V003,AC05,C003,Cucumber,540.0,0.0,14.8,25.0,66.0,6.2,1.45,105.0,Done,Pune,,FA015,Farm A,AgroCare,Pesticide,Plant Health Scouting,2026-06,2026,June,19.444444444444446,7.094594594594594
2026-06-16,V004,AC04,C002,Tomato,350.0,150.0,10.8,24.0,70.0,6.0,1.3,0.0,Done,Pune,,FA016,Farm A,FarmTech Supplies,Equipment,Climate Monitoring,2026-06,2026,June,0.0,0.0
2026-06-17,V003,AC03,C002,Tomato,420.0,180.0,12.5,24.2,68.0,6.1,1.2,0.0,Done,Pune,,FA017,Farm A,AgroCare,Pesticide,Cleaning & Sanitization,2026-06,2026,June,0.0,0.0
2026-06-18,V003,AC01,C001,Lettuce,450.0,185.0,12.0,25.0,65.0,6.0,1.5,0.0,Done,Pune,,FA018,Farm A,AgroCare,Pesticide,Irrigation,2026-06,2026,June,0.0,0.0
2026-06-19,V003,AC05,C002,Tomato,480.0,200.0,13.2,25.4,66.0,6.2,1.45,0.0,Done,Pune,,FA019,Farm A,AgroCare,Pesticide,Plant Health Scouting,2026-06,2026,June,0.0,0.0
2026-06-20,V002,AC04,C003,Cucumber,430.0,0.0,11.8,23.9,71.0,6.0,1.35,75.0,Done,Pune,,FA020,Farm A,Aqua Solutions,Irrigation,Climate Monitoring,2026-06,2026,June,17.441860465116278,6.3559322033898304
2026-06-21,V004,AC04,C001,Lettuce,440.0,185.0,12.7,24.3,69.0,6.1,1.25,0.0,Done,Pune,,FA021,Farm A,FarmTech Supplies,Equipment,Climate Monitoring,2026-06,2026,June,0.0,0.0
2026-06-22,V004,AC01,C001,Lettuce,490.0,205.0,13.4,25.1,65.0,6.0,1.5,0.0,Pending,Pune,,FA022,Farm A,FarmTech Supplies,Equipment,Irrigation,2026-06,2026,June,0.0,0.0
2026-06-23,V005,AC02,C001,Lettuce,300.0,110.0,9.2,24.7,68.0,6.2,1.4,0.0,Done,Pune,,FA023,Farm A,FreshCrop Agro,Seeds,Fertigation,2026-06,2026,June,0.0,0.0
2026-06-24,V002,AC02,C002,Tomato,360.0,130.0,10.1,24.1,71.0,6.0,1.3,0.0,Done,Pune,,FA024,Farm A,Aqua Solutions,Irrigation,Fertigation,2026-06,2026,June,0.0,0.0
2026-06-25,V004,AC03,C001,Lettuce,520.0,0.0,14.5,24.3,69.0,6.1,1.3,95.0,Done,Pune,,FA025,Farm A,FarmTech Supplies,Equipment,Cleaning & Sanitization,2026-06,2026,June,18.269230769230766,6.551724137931035
2026-06-26,V001,AC05,C001,Lettuce,450.0,190.0,12.2,25.0,66.0,6.1,1.5,0.0,Done,Pune,,FA026,Farm A,GreenGrow Agro,Fertilizer,Plant Health Scouting,2026-06,2026,June,0.0,0.0
